"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.466027737E-1,3.734954596E-1,9.774328232E0,9.784569698E0
9.283176000E-3,1.807622313E-1,4.632780254E-1,9.801861763E0,9.814468683E0
2.508917600E-2,6.703764945E-2,3.519476354E-1,9.490615845E0,9.497375969E0
3.798867600E-2,5.386953801E-2,4.860229492E-1,9.734824181E0,9.747098135E0
4.948692600E-2,1.077390760E-1,3.292027414E-1,9.852140427E0,9.858227688E0
6.021455100E-2,2.094926536E-1,5.374982953E-1,9.689333916E0,9.706491813E0
7.055536300E-2,1.975216419E-1,5.614402890E-1,9.867702484E0,9.885635150E0
8.077676900E-2,1.723825186E-1,5.554547906E-1,1.000536919E1,1.002225814E1
1.109661250E-1,1.484405100E-1,2.956839204E-1,9.600749016E0,9.606448107E0
1.209791500E-1,1.412578970E-1,3.914519846E-1,1.001973438E1,1.002837303E1
1.309456630E-1,1.292868853E-1,3.651157618E-1,1.023640919E1,1.024373456E1
1.609488610E-1,9.217676520E-2,4.165911078E-1,1.000895977E1,1.001804973E1
1.709685180E-1,1.137245819E-1,4.872200489E-1,1.013944435E1,1.015178055E1
1.809803470E-1,1.903390288E-1,5.063736439E-1,1.008796883E1,1.010246298E1
1.909487610E-1,2.082955539E-1,3.890577853E-1,1.005325317E1,1.006293458E1
2.009429680E-1,2.621650994E-1,3.435679376E-1,9.903614998E0,9.913039871E0
2.309805250E-1,1.879448295E-1,4.752490520E-1,1.008198357E1,1.009492831E1
2.410288500E-1,4.070143029E-2,3.064578176E-1,1.023760605E1,1.024227273E1
2.810022180E-1,2.106897533E-1,4.560954273E-1,9.965864182E0,9.978520035E0
2.909946970E-1,2.202665508E-1,3.268085420E-1,9.964667320E0,9.972457871E0
3.009914360E-1,2.801215947E-1,4.321534038E-1,1.004966164E1,1.006284869E1
3.110388060E-1,2.130839527E-1,4.776432514E-1,1.005445004E1,1.006804417E1
3.209999910E-1,7.422025502E-2,3.926490843E-1,9.989806175E0,9.997795225E0
3.310465830E-1,2.070984542E-1,4.153940082E-1,1.001374817E1,1.002449971E1
3.410208790E-1,7.900865376E-2,4.141969085E-1,9.991003990E0,9.999898108E0
3.509475270E-1,2.035071403E-1,4.704606235E-1,9.731232643E0,9.744723552E0
